TIME,PDCSAP_FLUX
3211.5295121969684,15295.06
3211.5499439233827,15285.192
3211.570375549789,15279.798
3211.590807076085,15288.175
3211.611238802383,15282.543
3211.631670428673,15278.057
3211.652101954969,15284.976
3211.6725336811505,15280.851
3211.692965207323,15288.846
3211.713396833504,15283.351
3211.733828559685,15282.766
3211.7542600857414,15278.293
3211.7746917118056,15284.984
3211.7951234378706,
3211.815554963927,15292.271
3211.8359866898754,15288.898
3211.8564183158232,15294.748
3211.876849841763,15306.066
3211.8972815677116,15297.832
3211.917713193543,15293.963
3211.9381447194246,15290.705
3211.9585764452568,15289.551
3211.979008,15293.0625
3211.999439696796,15292.292
3212.019871322569,15290.541
3212.040302948284,
3212.060734573992,15283.427
3212.0811662996493,15299.865
3212.1015978253054,15300.955
3212.1220295508974,15300.6045
3212.142461176496,15300.332
3212.162892702094,15299.85
3212.1833244276277,15299.012
3212.203756,15286.42
3212.2241875786494,15303.553
3212.244619304125,15289.199
3212.265050929549,15298.87
3212.285482454972,15286.6455
3212.3059141803897,15292.165
3212.3263458057554,15294.655
3212.3467775311146,15295.29
3212.3672090564796,15291.781
3212.387640681787,15298.595
3212.4080723070947,15296.001
3212.428503932395,15293.511
3212.4489355576443,15306.853
3212.469367182828,15299.214
3212.4897988080193,15289.316
3212.5102304332686,15289.714
3212.5306620584015,
3212.551093683527,15304.136
3212.571525,15289.633
3212.5919570337865,15297.384
3212.6123885589186,15297.282
3212.632820283936,15285.941
3212.6532519090033,15293.373
